No,Value,F1,F2
1,0,0,0
2,-1.3,0,0
3,-2.7,0,0
4,0,0,0
5,-2.7,0,0
6,-2.7,0,0
7,-2.7,0,0
8,-1.3,0,0
9,-2.7,0,0
10,-2.7,0,0
11,-1.3,0,0
12,-2.7,0,0
13,-2.7,0,0
14,-5.4,0,0
15,-2.7,0,0
16,-5.4,0,0
17,0,0,0
18,-2.7,0,0
19,-2.7,0,0
20,0,0,0
21,-13.3,0,0
22,-2.7,0,0
23,-22.8,0,0
24,-40.2,1,1
25,-21.5,0,0
26,-42.9,1,1
27,-21.5,0,0
28,-5.4,0,0
29,-59,1,1
30,-71,1,1
31,-37.5,1,1
32,-99.1,1,0
33,-112.5,1,0
34,-123.1,1,0
35,-85.6,1,0
36,-127.2,1,0
37,-123.1,1,0
38,-117.9,1,0
39,-134,1,0
40,-101.9,1,0
41,-108.4,1,0
42,-123.1,1,0
43,-123.1,1,0
44,-128.5,1,0
45,-112.5,1,0
46,-95.1,1,0
47,-53.5,0.26753,0.19111
48,-64.4,0.26753,0.19111
49,-72.3,0.26753,0.19111
50,-26.8,0.26753,0.19111
51,-5.4,0.26753,0.19111
52,-107.1,0.26753,0.19111
53,-65.6,0.26753,0.19111
54,-16,0.26753,0.19111
55,-45.6,0.26753,0.19111
56,4,0.26753,0.19111
57,12,0.26753,0.19111
58,-21.5,0.26753,0.19111
59,46.9,0.26753,0.19111
60,-17.4,0.26753,0.19111
61,36.2,0.26753,0.19111
62,75,0.26753,0.19111
63,8.1,0,0
64,54.9,0,1
65,46.9,0,1
66,16,0,0
67,45.6,0,1
68,1.3,0,0
69,75,0,1
70,-16,0,0
71,69.6,0,1
72,34.8,0,1
73,-37.5,1,1
74,46.9,0,1
75,5.4,0,0
76,-1.3,0,0
77,-21.5,0,0
78,-13.3,0,0
79,30.8,0,1
80,29.4,0,1
81,0,0,0
82,14.7,0,0
83,-1.3,0,0
84,0,0,0
85,10.7,0,0
86,10.7,0,0
87,-26.8,0,0
88,-13.3,0,0
89,0,0,0
90,10.7,0,0
91,-14.7,0,0
92,-2.7,0,0
93,-2.7,0,0
94,10.7,0,0
